DATE; Talajnedvesség 30 cm; Fényegység; Belső akkufeszültség; Levegő-páratartalom; Levegő-hőmérséklet; Besugárzás; Légnyomás; Talajhőmérséklet 0 cm; Külső akkufeszültség; Levélnedvesség; Talajnedvesség 60 cm; Csapadék; Szélirány; Csapadék Számláló; Talajnedvesség 120 cm; Szélsebesség; Fagy; Napelem töltőfeszültség; Talajnedvesség 90 cm; Széllökés
2021-03-31 00:00:00; 24,87235;2188,88900;   4,25132;  63,92148;  13,11458; 193,78947;1015,05540;-9999,00000;  13,16639;   0,00000;  23,45430;   0,00000;  13,85073; 146,13245;-9999,00000;   4,93929;-9999,00000;  10,95762;  25,70702;   8,57500
2021-01-23 00:00:00; -9999,00000;1513,06590;   4,23631;  75,76196;   9,29652;  25,70423; 991,79736;-9999,00000;  12,90671;   0,45455;-9999,00000;   0,00250; 156,46440;-9999,00000;-9999,00000;  24,12186;-9999,00000;   6,59117;-9999,00000;  33,94624
2021-01-25 00:00:00; -9999,00000;1533,09030;   4,25043;  90,18009;   2,16818;  57,35815; 990,70450;-9999,00000;  13,07904;   1,93662;-9999,00000;   0,03101; 258,41797;-9999,00000;-9999,00000;  16,93502;-9999,00000;   7,72488;-9999,00000;  23,21661
2021-01-24 00:00:00; -9999,00000;1682,30210;   4,24320;  85,73656;   7,15175;  45,68662; 988,45245;-9999,00000;  13,01577;   1,12281;-9999,00000;   0,03828; 172,02640;-9999,00000;-9999,00000;  12,46237;-9999,00000;   7,52761;-9999,00000;  17,86738
2021-01-27 00:00:00; -9999,00000;1756,14930;   4,24902;  87,41609;  -0,16000;  89,18439;1004,07190;-9999,00000;  13,17798;   0,52817;-9999,00000;   0,00000; 305,26587;-9999,00000;-9999,00000;   7,56115;-9999,00000;   8,78137;-9999,00000;  10,82374
2021-03-13 00:00:00; 24,42397;1935,25700;   4,25168;  80,93569;   8,37665; 160,24648;1003,79430;-9999,00000;-9999,00000;   1,77193;  23,08862;   0,01748; 169,32599; 131,33183;-9999,00000;  10,94624;-9999,00000;  10,19430;  25,67425;  16,08244
2021-01-28 00:00:00; -9999,00000;1633,42360;   4,25154;  86,58609;  -1,03263;  58,07829;1001,88160;-9999,00000;  13,15494;   0,03534;-9999,00000;   0,00000; 228,60226;-9999,00000;-9999,00000;   9,09058;-9999,00000;   8,17530;-9999,00000;  13,31159
2021-02-02 00:00:00; -9999,00000;1764,81950;   4,22324;  96,15575;   1,54056;  24,45036;1003,07837;-9999,00000;  12,82751;   2,62324;-9999,00000;   0,00335; 182,90918;-9999,00000;-9999,00000;   6,29496;-9999,00000;   7,19774;-9999,00000;   9,96403
2021-02-01 00:00:00; -9999,00000;1543,63890;   4,22920;  94,54423;   0,10458;  20,78014; 993,46480;-9999,00000;  12,82439;   4,47183;-9999,00000;   0,01508; 208,06796;-9999,00000;-9999,00000;   3,07220;-9999,00000;   6,95980;-9999,00000;   4,63177
2021-02-03 00:00:00; -9999,00000;1652,44450;   4,24231;  91,88961;   6,78531;  67,28873;1003,19275;-9999,00000;  13,00700;   2,26316;-9999,00000;   0,00000; 172,01960;-9999,00000;-9999,00000;  13,91007;-9999,00000;   8,20970;-9999,00000;  19,99640
2021-02-04 00:00:00; -9999,00000;1746,76730;   4,25133;  81,02250;   9,27805;  87,30634;1004,10300;-9999,00000;  13,09219;   0,87719;-9999,00000;   0,00915; 248,71281;-9999,00000;-9999,00000;  13,54839;-9999,00000;   8,67684;-9999,00000;  18,87455
2021-01-22 00:00:00; -9999,00000;1622,81590;   4,25036;  81,79707;   7,49756;  48,85159;1000,32587;-9999,00000;  13,05880;   0,03509;-9999,00000;   0,00000; 160,28583;-9999,00000;-9999,00000;  21,44803;-9999,00000;   7,58504;-9999,00000;  30,32258
2021-04-09 00:00:00; 23,85056;2226,39580;   4,25321;  58,44866;   4,41509; 245,28268;1017,09660;-9999,00000;  13,25101;   0,01761;  23,20801;   0,00000; 159,70808; 148,75000;-9999,00000;   8,73022;-9999,00000;  11,65108;  25,70702;  13,70504
2021-03-03 00:00:00; 24,98716;1952,18750;   4,25226;  68,89003;   6,31958; 158,78091;1020,42520;-9999,00000;-9999,00000;   0,45614;  23,36653;   0,00000; 205,66484; 119,23818;-9999,00000;   5,06093;-9999,00000;   9,97833;  25,70576;   8,23297
2021-03-04 00:00:00; 24,90389;1865,27090;   4,25093;  70,97139;   5,75385;  98,00353;1009,12994;-9999,00000;-9999,00000;   0,00000;  23,34890;   0,00000; 187,72617; 119,23818;-9999,00000;   6,34532;-9999,00000;   9,61517;  25,70702;   9,05036
2021-03-05 00:00:00; 24,82856;2001,98270;   4,24655;  76,52800;   5,45385;  79,77032;1005,88306;-9999,00000;-9999,00000;   0,94737;  23,32031;   0,00501; 235,59060; 119,71748;-9999,00000;  12,46931;-9999,00000;   9,31425;  25,72258;  17,05415
2021-01-29 00:00:00; -9999,00000;1556,78820;   4,24646;  94,45877;   4,04176;  32,19081; 992,61000;-9999,00000;  12,97128;   3,92606;-9999,00000;   0,02338; 191,27142;-9999,00000;-9999,00000;  11,32734;-9999,00000;   7,15561;-9999,00000;  16,18345
2021-01-31 00:00:00; -9999,00000;1589,47570;   4,23819;  90,25547;   0,87544;  19,76950; 992,72534;-9999,00000;  12,94142;   2,25352;-9999,00000;   0,01089;  26,08971;-9999,00000;-9999,00000;  14,75812;-9999,00000;   6,77470;-9999,00000;  20,85560
2021-01-26 00:00:00; -9999,00000;1706,86460;   4,24024;  91,98739;   0,56268;  25,65603;1000,70010;-9999,00000;  12,94543;   0,70423;-9999,00000;   0,00000; 309,52338;-9999,00000;-9999,00000;   7,69314;-9999,00000;   7,01754;-9999,00000;  11,05415
2021-02-10 00:00:00; -9999,00000;1609,04490;   4,24534;  92,66173;   6,99202;  38,99293; 994,40400;-9999,00000;  12,97191;   2,97203;-9999,00000;   0,01244; 158,94987;-9999,00000;-9999,00000;  10,91429;-9999,00000;   7,61835;-9999,00000;  15,61786
2021-02-27 00:00:00; 25,51429;1988,37160;   4,25124;  76,11769;   6,57979;  95,44014;1017,33560;-9999,00000;-9999,00000;   0,82456;  23,56160;   0,00000; 358,55936; 119,23818;-9999,00000;  11,23022;-9999,00000;   9,60110;  25,70660;  15,80216
2021-02-14 00:00:00; -9999,00000;1794,98270;   4,25311;  81,56822;  -3,07254; 106,75000;1025,02150;-9999,00000;  13,23784;   0,00000;-9999,00000;   0,00000; 357,63876;-9999,00000;-9999,00000;   7,89855;-9999,00000;   9,28060;-9999,00000;  11,39493
2021-02-15 00:00:00; -9999,00000;1810,87160;   4,24094;  80,14570;  -2,34772; 126,24113;1024,67830;-9999,00000;  13,31187;   0,00000;-9999,00000;   0,00000; 316,04694;-9999,00000;-9999,00000;   6,40072;-9999,00000;   9,74392;-9999,00000;   9,28520
2021-02-11 00:00:00; -9999,00000;1557,04860;   4,23660;  86,74609;  -0,38380;  16,70213;1002,11380;-9999,00000;  12,81910;   1,19718;-9999,00000;   0,00252; 306,69543;-9999,00000;-9999,00000;  22,97112;-9999,00000;   7,10085;-9999,00000;  30,99639
2021-02-09 00:00:00; -9999,00000;1631,06620;   4,24281;  92,18777;   6,17902;  54,41901; 992,72840;-9999,00000;  12,95895;   3,48592;-9999,00000;   0,01676; 178,70847;-9999,00000;-9999,00000;  10,07581;-9999,00000;   7,91010;-9999,00000;  14,58845
2021-02-18 00:00:00; -9999,00000;1844,93750;   4,25118;  85,27502;   4,22797; 127,64185;1011,33050;-9999,00000;  13,16882;   1,59649;-9999,00000;   0,00000; 322,40323;-9999,00000;-9999,00000;   4,62230;-9999,00000;   9,49124;-9999,00000;   7,33453
2021-02-16 00:00:00; -9999,00000;1870,73270;   4,25174;  79,60888;  -1,37148;  83,30961;1018,29880;-9999,00000;  13,23411;   1,48410;-9999,00000;   0,00000; 131,05438;-9999,00000;-9999,00000;   5,34783;-9999,00000;   9,01505;-9999,00000;   8,19203
2021-02-17 00:00:00; -9999,00000;1810,58340;   4,24768;  82,27334;   1,40421;  40,91873;1009,61383;-9999,00000;  13,05973;   0,63380;-9999,00000;   0,00084; 198,92401;-9999,00000;-9999,00000;   8,96763;-9999,00000;   8,14562;-9999,00000;  12,79137
2021-02-12 00:00:00; -9999,00000;1781,67710;   4,24603;  81,28262;  -6,90318;  97,83929;1018,47830;-9999,00000;  13,21801;   0,00000;-9999,00000;   0,00000; 300,70140;-9999,00000;-9999,00000;  10,24000;-9999,00000;   9,42263;-9999,00000;  14,37454
2021-02-13 00:00:00; -9999,00000;1889,26390;   4,25368;  78,25410;  -7,19149; 124,05018;1023,83575;-9999,00000;  13,35319;   0,65836;-9999,00000;   0,00000; 349,89030;-9999,00000;-9999,00000;   5,55636;-9999,00000;   9,74438;-9999,00000;   8,66182
2021-01-10 00:00:00; 26,03573;1459,02430;   4,23996;  97,09599;  -1,67852;  19,27046;1012,70776;   1,22695;  12,85551;   3,87324;  23,81995;   0,00000;  26,98194;-9999,00000;-9999,00000;  10,25271;-9999,00000;   6,35816;  25,77797;  14,59567
2021-01-11 00:00:00; 25,79345;1602,97220;   4,24041;  95,78533;  -0,68521;  26,36525;1010,39790;   1,10926;  12,83391;   0,00000;  23,71796;   0,00084;  25,28456;-9999,00000;-9999,00000;   4,74368;-9999,00000;   6,61589;  25,71380;   7,16967
2021-01-08 00:00:00; 26,69440;1386,53120;   4,24388;  92,81488;   0,92105;  23,84342;1005,59186;   2,65993;  12,85809;   2,45583;  24,11784;   0,00000;  33,49226;-9999,00000;-9999,00000;   6,42960;-9999,00000;   6,45908;  25,96606;   9,74729
2021-02-19 00:00:00; -9999,00000;1837,97570;   4,25036;  86,60055;   3,78983;  55,17730;1014,10920;-9999,00000;  13,09124;   2,28873;-9999,00000;   0,00000; 153,75317;-9999,00000;-9999,00000;  12,44964;-9999,00000;   8,49793;-9999,00000;  17,92446
2021-01-09 00:00:00; 26,31720;1672,79520;   4,24879;  94,64597;  -1,26456;  65,60284;1011,43353;   1,66655;  13,07103;   3,85159;  23,97194;   0,00000;  68,21774;-9999,00000;-9999,00000;   4,31769;-9999,00000;   7,90579;  25,84802;   6,95307
2021-01-05 00:00:00; 28,78751;1374,09720;   4,22865;  94,81129;   4,88182;  19,13427;1001,51746;   5,68553;  12,71367;   1,66667;  25,14565;   0,00501; 240,90494;-9999,00000;-9999,00000;  12,38129;-9999,00000;   6,20899;  26,24397;  17,56115
2021-01-04 00:00:00; 27,83805;1523,05210;   4,24004;  94,45506;   5,98462;  15,86572;1002,26300;   5,20672;  12,75058;   3,56140;  24,20967;   0,01914;  60,31281;-9999,00000;-9999,00000;   6,51254;-9999,00000;   6,25277;  26,05640;   9,57706
2021-01-03 00:00:00; 26,78512;1526,68410;   4,24668;  85,37462;   6,49860;  26,37809;1004,27527;   4,46361;  12,89932;   0,82456;  24,22006;   0,00919; 138,95584;-9999,00000;-9999,00000;  13,24820;-9999,00000;   6,58451;  26,11953;  18,99640
2021-01-02 00:00:00; 27,25103;1620,78470;   4,25025;  80,16465;   4,99895;  67,40282;1007,01495;   4,07376;  13,04746;   0,00000;  24,53308;   0,00000; 126,46447;-9999,00000;-9999,00000;  12,38489;-9999,00000;   8,07417;  26,29095;  17,48561
2021-01-15 00:00:00; 25,99328;1612,31950;   4,24995;  88,75906;  -2,03768;  46,08541;1006,82840;   0,66334;  13,03808;   0,30035;  23,56495;   0,00000; 293,74567;-9999,00000;-9999,00000;   8,41667;-9999,00000;   7,43747;  25,40602;  12,22826
2021-01-19 00:00:00; -9999,00000;1666,24660;   4,24458;  92,12371;  -1,44894;  42,69503;1013,02210;-9999,00000;  12,80580;   0,00000;-9999,00000;   0,00251; 185,80690;-9999,00000;-9999,00000;  12,28159;-9999,00000;   6,84204;-9999,00000;  16,85920
2021-01-17 00:00:00; 25,47715;1595,78120;   4,24674;  91,21401;  -4,54205;  56,01786;1008,66950;   0,05068;  12,88729;   0,60284;  23,45905;   0,00084; 273,42847;-9999,00000;-9999,00000;   5,28623;-9999,00000;   6,97506;  25,34998;   7,86232
2021-01-16 00:00:00; 25,68544;1606,70480;   4,24862;  86,87964;  -4,32676;  40,46429;1009,95970;   0,33132;  13,05285;   0,00000;  23,56199;   0,00000; 238,40347;-9999,00000;-9999,00000;   4,71739;-9999,00000;   7,75736;  25,34879;   7,26812
2021-01-07 00:00:00; 27,08305;1627,63200;   4,24778;  91,26447;   3,06947;  59,18728;1005,30035;   4,20390;  12,98067;   2,49123;  24,29712;   0,00084; 235,18411;-9999,00000;-9999,00000;   6,19784;-9999,00000;   7,82168;  26,10368;   9,18705
2021-01-06 00:00:00; 27,44028;1559,42360;   4,23062;  92,94775;   4,35909;  20,93640;1002,92010;   4,41837;  12,70439;   2,95775;  24,52464;   0,00167; 139,76187;-9999,00000;-9999,00000;  10,40288;-9999,00000;   6,53138;  26,26029;  15,00360
2021-02-28 00:00:00; 25,36649;1942,94090;   4,24991;  72,79138;   4,42842; 145,14134;1022,99866;-9999,00000;-9999,00000;   0,77465;  23,48475;   0,00000; 311,08820; 119,23818;-9999,00000;   6,38489;-9999,00000;  10,04560;  25,70702;   9,75540
2021-03-28 00:00:00; 24,99085;2145,97100;   4,25144;  52,43423;   9,23527; 147,32600;1019,48410;-9999,00000;-9999,00000;   0,00000;  23,44858;   0,00000; 298,15414; 146,13243;-9999,00000;  12,12687;-9999,00000;  11,14832;  25,70702;  16,75373
2021-03-27 00:00:00; 25,00430;2168,66300;   4,25147;  58,50111;   9,19756; 203,19788;1013,05566;-9999,00000;-9999,00000;   0,00000;  23,44594;   0,00000; 156,75812; 146,13245;-9999,00000;   9,54839;-9999,00000;  10,86708;  25,70660;  13,62007
2021-01-21 00:00:00; -9999,00000;1708,77430;   4,25128;  84,93547;   4,61469;  76,97880;1007,02340;-9999,00000;  13,11316;   0,00000;-9999,00000;   0,00000; 160,23535;-9999,00000;-9999,00000;  17,49640;-9999,00000;   8,32899;-9999,00000;  24,75540
2021-01-20 00:00:00; -9999,00000;1690,86110;   4,24788;  86,98845;   1,78105;  42,58865;1009,33950;-9999,00000;  12,96130;   0,00000;-9999,00000;   0,00000; 175,45204;-9999,00000;-9999,00000;  14,85199;-9999,00000;   7,49252;-9999,00000;  20,50541
2021-01-18 00:00:00; -9999,00000;1546,62840;   4,25042;  88,19616;  -5,65352;  65,48214;1013,86390;-9999,00000;  13,07003;   2,42908;-9999,00000;   0,00000; 209,33640;-9999,00000;-9999,00000;   4,78261;-9999,00000;   7,94186;-9999,00000;   7,23913
2021-01-30 00:00:00; -9999,00000;1840,45840;   4,25155;  90,33246;   6,23728;  86,36042; 990,20430;-9999,00000;  13,11162;   2,68421;-9999,00000;   0,00084; 217,27751;-9999,00000;-9999,00000;   9,86022;-9999,00000;   8,64296;-9999,00000;  13,69892
2021-03-02 00:00:00; 25,08053;2043,77090;   4,25160;  75,55283;   4,01503; 155,47704;1024,76600;-9999,00000;-9999,00000;   0,91228;  23,42197;   0,00000; 310,54050; 119,23818;-9999,00000;   4,59712;-9999,00000;  10,21727;  25,70660;   7,57554
2021-03-01 00:00:00; 25,21369;1939,94790;   4,25280;  73,00433;   4,05384; 149,34398;1021,52045;-9999,00000;-9999,00000;   0,17606;  23,44594;   0,00000; 356,12762; 119,23818;-9999,00000;   7,98921;-9999,00000;  10,17057;  25,70702;  11,94964
2021-02-20 00:00:00; -9999,00000;1729,72220;   4,24063;  93,24269;   3,20909;  28,28622;1016,93570;-9999,00000;  12,97069;   2,99296;-9999,00000;   0,01253;  47,87511;-9999,00000;-9999,00000;   4,38849;-9999,00000;   7,85464;-9999,00000;   6,98561
2021-02-21 00:00:00; -9999,00000;1885,04520;   4,24868;  89,41756;   3,49231; 133,97163;1020,16520;-9999,00000;  13,18212;   3,49123;-9999,00000;   0,00084; 113,94669;-9999,00000;-9999,00000;   6,50719;-9999,00000;   9,75020;-9999,00000;   9,84532
2021-02-22 00:00:00; -9999,00000;1951,21530;   4,25260;  82,89951;   5,35544; 136,53711;1019,45390;-9999,00000;  13,20485;   2,14035;-9999,00000;   0,00000; 121,31435;-9999,00000;-9999,00000;   6,01079;-9999,00000;   9,73554;-9999,00000;   8,85971
2021-02-23 00:00:00; -9999,00000;2001,21950;   4,25268;  82,98825;   6,54475; 136,25000;1022,71735;-9999,00000;  13,08970;   2,37676;-9999,00000;   0,00000;  51,09797;-9999,00000;-9999,00000;   4,32734;-9999,00000;   9,09129;-9999,00000;   6,83453
2021-02-24 00:00:00; -9999,00000;1951,48440;   4,25195;  81,56865;   7,29443; 127,77385;1026,33370;-9999,00000;  13,12440;   2,21053;-9999,00000;   0,00000;  67,55846;-9999,00000;-9999,00000;   2,73835;-9999,00000;   9,49802;-9999,00000;   5,01075
2021-02-25 00:00:00; -9999,00000;2074,84900;   4,25189;  77,78568;   8,81119; 131,74911;1023,45920;-9999,00000;  13,09765;   1,93662;-9999,00000;   0,00000; 149,01537;-9999,00000;-9999,00000;   3,03971;-9999,00000;   9,36942;-9999,00000;   5,06137
